name,total_rev,creation date,Remaining Rev,Genre,Content Rating
Red Ball 4,470000,19-Oct," $423,000",Game,
Geometry Dash Lite,518000,16-Sep," $321,788",Game,
Domino's Pizza USA,518000,16-Jul," $313,939",Food,
Smashy Road: Arena,470000,16-Dec," $285,917",Game,
Narcos: Cartel Wars,470000,16-Aug," $270,250",Game,
Tomb of the Mask,470000,16-Feb," $246,750",,
Rolling Sky,470000,16-Jan," $242,833",,
Geometry Dash Meltdown,470000,15-Dec," $238,917",,
Hungry Shark World,470000,15-Dec," $238,917",,
Talking Tom Bubble Shooter,470000,15-Dec," $238,917",,
,,,$0.00,,
